Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
5699518,7688,188,1,16,9,128,1,1,86,0.033,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,ampere_sgemm_32x32_sliced1x4_nn
5710073,2017,191,1,32,1,32,16,1,44,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
5714642,1229,197,,,,,,,,,,0.016,13331.153,Device,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Device-to-Device]
5826056,2111,212,8,1,1,32,4,1,36,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void vllm::moe::topkGating<(int)4, (int)8, (int)4, (int)16, (int)32, int, float, (vllm::moe::ScoringFunc)0>(const T7 *, const bool *, float *, int, T6 *, int *, int, int, int, bool, const float *, double)"
5868088,4317,231,2,1,1,1024,1,1,40,0.004,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void vllm::moe::moe_align_block_size_kernel<int>(const T1 *, int *, int *, int *, int *, int, int, int, int, unsigned long, int *, int, int, bool)"
5875052,1701,233,1,4,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void vllm::moe::count_and_sort_expert_tokens_kernel<int>(const T1 *, int *, int *, int *, unsigned long, int, int, int, bool)"
6027836,712376,245,2240,1,1,128,1,1,72,0.000,0.008,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,fused_moe_kernel
6742795,19284,252,1792,1,1,64,2,1,48,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
