Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.0,712376,1,712376.0,712376.0,712376,712376,0.0,fused_moe_kernel
2.6,19284,1,19284.0,19284.0,19284,19284,0.0,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
1.0,7688,1,7688.0,7688.0,7688,7688,0.0,ampere_sgemm_32x32_sliced1x4_nn
0.6,4317,1,4317.0,4317.0,4317,4317,0.0,"void vllm::moe::moe_align_block_size_kernel<int>(const T1 *, int *, int *, int *, int *, int, int, int, int, unsigned long, int *, int, int, bool)"
0.3,2111,1,2111.0,2111.0,2111,2111,0.0,"void vllm::moe::topkGating<(int)4, (int)8, (int)4, (int)16, (int)32, int, float, (vllm::moe::ScoringFunc)0>(const T7 *, const bool *, float *, int, T6 *, int *, int, int, int, bool, const float *, double)"
0.3,2017,1,2017.0,2017.0,2017,2017,0.0,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.2,1701,1,1701.0,1701.0,1701,1701,0.0,"void vllm::moe::count_and_sort_expert_tokens_kernel<int>(const T1 *, int *, int *, int *, unsigned long, int, int, int, bool)"
