scope,decision,baseline,candidate,paired_shapes,ratio_of_sums_p50_speedup,shape_balanced_geometric_mean_speedup,shape_win_fraction,maximum_p50_regression_fraction,maximum_p95_regression_fraction,maximum_workspace_growth_bytes
grouped_queue1024,insufficient_evidence,cuda_grouped_sm86_fp32_v2,cuda_grouped_sm86_fp32_v4a_desc_queue_t1024,10,0.9224565928190152,0.8448399988127215,0.3,0.5555555405844907,2.642857026848844,262912
routeprep_t1024,insufficient_evidence,cuda_candidate_v3_from_ids,cuda_routeprep_shared_rank_t1024_v1,144,1.0439308627067057,1.0077527168189169,0.4027777777777778,0.5588234947949902,1.1188959371098535,0
token_owned_top4,insufficient_evidence,cuda_routeprep_shared_rank_t256_v1,cuda_permute_token_owned_topk4_v4,48,1.0170266577605516,1.0358739974794022,0.7291666666666666,0.07692310382650747,0.07142852967056013,0
postroute_gather,insufficient_evidence,cuda_postroute_current_v1,cuda_postroute_gather_grouped_v1,29,0.8191397392031554,0.9574859930481272,0.5172413793103449,0.8888889384499539,0.8845645160420026,4195072
graph_postlogit,insufficient_evidence,cuda_postlogit_integrated_latest,cuda_postlogit_graph_fixed_v1,1,1.6204588760684902,1.6204588760684902,1.0,-0.3828908497658573,-0.496566118881711,0
graph_postroute,insufficient_evidence,cuda_postroute_current_v1,cuda_postroute_graph_fixed_v1,3,1.233633180387172,1.2337515867870306,1.0,-0.17476852228409534,-0.25428466537306726,525056
