Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
95.3,640434,1,640434.0,640434.0,640434,640434,0.0,[CUDA memcpy Host-to-Device]
4.7,31424,2,15712.0,15712.0,15584,15840,181.0,[CUDA memcpy Device-to-Host]
