Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
95.3,640466,1,640466.0,640466.0,640466,640466,0.0,[CUDA memcpy Host-to-Device]
4.7,31870,2,15935.0,15935.0,15615,16255,452.5,[CUDA memcpy Device-to-Host]
