Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
95.3,640593,1,640593.0,640593.0,640593,640593,0.0,[CUDA memcpy Host-to-Device]
4.7,31584,2,15792.0,15792.0,15680,15904,158.4,[CUDA memcpy Device-to-Host]
