Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
85.3,162621,1,162621.0,162621.0,162621,162621,0.0,[CUDA memcpy Host-to-Device]
13.5,25696,22,1168.0,1088.0,448,2368,739.1,[CUDA memset]
1.3,2400,1,2400.0,2400.0,2400,2400,0.0,[CUDA memcpy Device-to-Host]

