run_id,case_id,operator,variant,measurement_level,cache_mode,process_runs,records,raw_samples,median_of_process_medians_us,all_samples_p50_us,all_samples_p95_us,all_samples_mean_us,all_samples_stddev_us,all_samples_cv,promotion_baseline
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cold_t2048_e64.library_pair,topk_gate,cuda_naive,L1_kernel_body,cold_scrub,5,5,150,14.2438399792,14.2643201351,25.345023870444997,16.151961620651335,4.200559956554466,0.26006500357106943,True
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cold_t2048_e64.library_pair,topk_gate,vllm_row_packed_top2,L1_kernel_body,cold_scrub,5,5,150,8.8524800539,8.627200126645,9.2216318845735,8.540228255589733,0.5423456786636722,0.06350482240433061,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t1,topk_gate,cub_block_radix_top2,L1_kernel_body,warm,5,5,150,13.5577595234,13.588479757350001,19.49337595699,14.584695458415332,2.6606519202124552,0.18242766383423287,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t1,topk_gate,cuda_local_pair_two_reduce_top2_v4,L1_kernel_body,warm,5,5,150,8.13056021929,8.227840065955,21.3309442997,10.782993038495267,5.250607622470882,0.4869341567527886,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t1,topk_gate,cuda_naive,L1_kernel_body,warm,5,5,150,8.62719982862,8.673279881475,20.410368442545,10.919048555693667,4.700470167317656,0.43048349344198367,True
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t1,topk_gate,cuda_subwarp_pair_top2_v2,L1_kernel_body,warm,5,5,150,8.94976019859,8.94976019859,21.4128649235,11.229388817149268,5.090955591443092,0.45335998907334124,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t1,topk_gate,cuda_vector_pair_top2_v3,L1_kernel_body,warm,5,5,150,8.22784006596,8.330240249635,21.14868867396,10.8281152049696,5.169185157071866,0.47738549684985354,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t1024,topk_gate,cub_block_radix_top2,L1_kernel_body,warm,5,5,150,21.3248002529,21.4118409157,22.6099205017,21.605171203615335,0.48639893000809686,0.022513079180168892,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t1024,topk_gate,cuda_local_pair_two_reduce_top2_v4,L1_kernel_body,warm,5,5,150,8.23295980692,8.37632000446,10.115584075434999,8.526984544594468,0.7634594527134485,0.08953451817822634,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t1024,topk_gate,cuda_naive,L1_kernel_body,warm,5,5,150,8.97024005651,8.92928004265,9.585663944484999,8.864085312684667,0.46116156005246267,0.05202584855456345,True
