Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
85.9,352411,3,117470.3,28608.0,2208,321595,177269.3,[CUDA memcpy Host-to-Device]
10.8,44383,5,8876.6,2112.0,1888,35679,14986.1,[CUDA memcpy Device-to-Host]
3.3,13440,12,1120.0,1440.0,352,1792,664.7,[CUDA memset]
