Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
34.1,36096,6,6016.0,6032.0,5792,6176,124.8,"raggedroute::ops::<unnamed>::grouped_gemm_naive_kernel(const float *, const float *, const int *, float *, int, int)"
19.4,20512,6,3418.7,3392.0,3264,3680,139.4,"raggedroute::ops::<unnamed>::dense_gemm_naive_kernel(const float *, const float *, float *, int, int, int)"
11.7,12416,6,2069.3,2080.0,2016,2112,33.0,"raggedroute::ops::<unnamed>::topk_gate_naive_kernel(const float *, int *, float *, int, int)"
9.6,10176,6,1696.0,1696.0,1600,1792,75.7,"void raggedroute::ops::<unnamed>::token_permute_atomic_vectorized_kernel<(int)128, (bool)1>(const float *, const int *, const int *, int *, float *, int *, int *, int, int, int)"
9.4,9952,6,1658.7,1664.0,1600,1696,31.5,"raggedroute::ops::<unnamed>::unpermute_naive_kernel(const float *, const int *, const float *, float *, int, int, int)"
9.2,9696,6,1616.0,1632.0,1536,1632,39.2,"raggedroute::ops::<unnamed>::exclusive_scan_naive_kernel(const int *, int *, int)"
6.6,6976,6,1162.7,1168.0,1120,1184,26.1,"raggedroute::ops::<unnamed>::histogram_naive_kernel(const int *, int *, int, int)"
