case_id,profile_set,kernel,concept,status,metric,value,unit
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,duration_ns,collected,gpu__time_duration.sum,24256.0,ns
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,grid_size,collected,launch__grid_size,256,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,block_size,collected,launch__block_size,256,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,0.6274509803921569,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,registers_per_thread,collected,launch__registers_per_thread,40,register/thread
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,shared_mem_per_block,collected,launch__shared_mem_per_block,1024,byte/block
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,100.0,%
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,44.52111500307282,%
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,sm_throughput_pct,collected,sm__throughput.avg.pct_of_peak_sustained_elapsed,76.81349829436046,%
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,memory_throughput_pct,collected,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,76.81349829436046,%
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,dram_throughput_pct,collected,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,0.04284734917733089,%
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,dram_read_bytes,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,dram_write_bytes,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,l1_throughput_pct,collected,l1tex__throughput.avg.pct_of_peak_sustained_active,89.7361397430738,%
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,l1_hit_rate_pct,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,l2_hit_rate_pct,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,global_load_sectors,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,global_load_requests,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,global_store_sectors,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,global_store_requests,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,local_load_instructions,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,local_store_instructions,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,tensor_active_pct,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,eligible_warps_per_scheduler,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,issue_active_pct,collected,sm__issue_active.avg.pct_of_peak_sustained_elapsed,27.584386188252495,%
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,stall_long_scoreboard,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,stall_short_scoreboard,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,stall_wait,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,stall_barrier,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,stall_math_pipe,not_collected,,,
dense.2d_mapping,basic,dense_gemm_2d_mapping_kernel,stall_memory_throttle,not_collected,,,
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,duration_ns,collected,gpu__time_duration.sum,24320.0,ns
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,grid_size,collected,launch__grid_size,256,
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,block_size,collected,launch__block_size,256,
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,0.6274509803921569,
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,registers_per_thread,collected,launch__registers_per_thread,40,register/thread
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,shared_mem_per_block,collected,launch__shared_mem_per_block,1024,byte/block
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,100.0,%
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,47.93049081645885,%
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,sm_throughput_pct,collected,sm__throughput.avg.pct_of_peak_sustained_elapsed,76.87261850272151,%
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,memory_throughput_pct,collected,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,76.87261850272151,%
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,dram_throughput_pct,collected,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,2.6748002283105023,%
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,dram_read_bytes,collected,dram__bytes_read.sum,363520.0,byte
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,dram_write_bytes,collected,dram__bytes_write.sum,116352.0,byte
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,l1_throughput_pct,collected,l1tex__throughput.avg.pct_of_peak_sustained_active,89.77860931340712,%
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,l1_hit_rate_pct,collected,l1tex__t_sector_hit_rate.pct,88.88262692270249,%
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,l2_hit_rate_pct,collected,lts__t_sector_hit_rate.pct,99.41639760614945,%
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,global_load_sectors,not_collected,,,
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,global_load_requests,collected,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,1048576.0,
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,global_store_sectors,not_collected,,,
dense.2d_mapping,detailed,dense_gemm_2d_mapping_kernel,global_store_requests,collected,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum,2048.0,
