Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.9,466004,6,77667.3,77662.0,76990,78430,485.1,"raggedroute::ops::<unnamed>::grouped_gemm_naive_kernel(const float *, const float *, const int *, float *, int, int)"
10.4,67552,6,11258.7,11264.0,11232,11264,13.1,"raggedroute::ops::<unnamed>::topk_gate_naive_kernel(const float *, int *, float *, int, int)"
8.1,52315,6,8719.2,8767.0,8255,9056,280.5,"raggedroute::ops::<unnamed>::dense_gemm_naive_kernel(const float *, const float *, float *, int, int, int)"
3.1,20160,6,3360.0,3360.0,3328,3392,20.2,"raggedroute::ops::<unnamed>::token_permute_naive_kernel(const float *, const int *, const int *, int *, float *, int *, int *, int, int, int)"
3.0,19136,6,3189.3,3168.0,3168,3232,33.0,"raggedroute::ops::<unnamed>::exclusive_scan_naive_kernel(const int *, int *, int)"
2.2,14368,6,2394.7,2368.0,2336,2528,68.4,"raggedroute::ops::<unnamed>::unpermute_naive_kernel(const float *, const int *, const float *, float *, int, int, int)"
1.3,8576,6,1429.3,1424.0,1408,1472,26.1,"raggedroute::ops::<unnamed>::histogram_naive_kernel(const int *, int *, int, int)"
